0,1405007694,utime,T(cK),I(cA),V(mV),V_sup(mV),Stat,T(cK),I(cA),V(mV),V_sup(mV),Stat
0,1405007769,76522,30600,100,14035,23562,1,30510,98,14020,23859,3
0,1405007770,77528,30600,100,14035,23562,1,30510,98,14025,23859,3
0,1405007771,78537,30600,100,14035,23562,1,30510,98,14025,23859,3
0,1405007772,79539,30600,100,14040,23562,1,30510,98,14025,23859,3
0,1405007773,80541,30600,100,14040,23562,1,30510,98,14025,23859,3
0,1405007774,81546,30600,100,14040,23562,1,30510,98,14030,23859,3
0,1405007775,82547,30600,100,14040,23562,1,30510,98,14030,23859,3
0,1405007776,83553,30600,100,14045,23562,1,30510,98,14030,23859,3
0,1405007777,84562,30600,98,14045,23562,1,30555,98,14035,23859,3
0,1405007778,85575,30600,100,14045,23562,1,30510,98,14035,23859,3
0,1405007779,86582,30600,100,14050,23562,1,30510,98,14035,23859,3
0,1405007780,87585,30600,100,14050,23562,1,30510,98,14035,23859,3
0,1405007781,88592,30600,100,14050,23562,1,30510,100,14040,23859,3
0,1405007782,89599,30600,100,14055,23562,1,30510,98,14040,23859,3
0,1405007783,90606,30600,100,14055,23562,1,30510,98,14040,23859,3
0,1405007784,91610,30600,100,14055,23562,1,30510,98,14040,23859,3
0,1405007785,92617,30600,100,14055,23562,1,30510,98,14045,23859,3
0,1405007786,93624,30600,100,14060,23562,1,30510,98,14045,23859,3
0,1405007787,94625,30600,100,14060,23562,1,30510,98,14045,23859,3
0,1405007788,95632,30600,100,14060,23562,1,30555,98,14050,23859,3
0,1405007789,96637,30600,100,14060,23562,1,30510,98,14050,23859,3
0,1405007790,97640,30600,100,14065,23562,1,30510,98,14050,23859,3
0,1405007791,98642,30600,100,14065,23562,1,30510,98,14055,23859,3
0,1405007792,99645,30600,100,14065,23562,1,30510,98,14055,23859,3
0,1405007793,100651,30600,100,14070,23562,1,30510,98,14055,23859,3
0,1405007794,101660,30600,100,14070,23562,1,30510,98,14060,23859,3
0,1405007795,102666,30600,100,14070,23562,1,30510,98,14060,23859,3
0,1405007796,103675,30600,100,14075,23562,1,30510,98,14060,23859,3
0,1405007797,104700,30600,100,14075,23562,1,30510,98,14060,23859,3
0,1405007798,105704,30600,100,14080,23562,1,30555,98,14065,23859,3
0,1405007799,106706,30600,100,14080,23562,1,30510,98,14065,23859,3
0,1405007800,107714,30600,100,14080,23562,1,30510,98,14065,23859,3
0,1405007801,108716,30600,100,14080,23562,1,30510,98,14065,23859,3
0,1405007802,109729,30600,100,14085,23562,1,30510,98,14070,23859,3
