0,1405701836,utime,volts24,volts12,gappos,gapmotor,BSChKill,MotCont,MotPreC,ArrCont,ArrPreC,GapD1,GapIN1,GapIN2,ArrayA,ArrayB,ArrayC,Estop,Thren
0,1405701836,mins,,,,0,,,,,,0,,,,,,,0,,,,,,-2,,,,,,,,0,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0
0,1405701836,maxs,,,100,,,,100,,,,100,,,,,,+2,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,1
0,1405701836,attr,,,,N,,,,,,,N,,,,,,N,,,,,,,N,,,,,,,,L,,,,,,,,L,,,,,,L,,,,,,,L,,,,,,,L,,,,,,L,,,,,L,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,L
0,1405701837,2308,32679,1968,48685,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1405701838,3312,32679,1968,48685,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405701839,4313,32679,1968,48685,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405701840,5317,32679,1968,48685,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405701841,6320,32679,1968,48685,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405701842,7324,32679,1968,48685,0,0,0,0,0,1,0,1,1,0,0,0,0,1
0,1405701843,8845,32679,1968,48685,0,0,0,0,0,1,0,1,1,0,0,0,0,1
0,1405701844,9852,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405701845,10858,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405701846,11861,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405701847,12868,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405701848,13869,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405701849,14875,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405701850,15876,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405701851,16882,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405701852,17892,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405701853,18897,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405701854,19907,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405701855,20910,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405701856,21917,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405701857,22918,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405701858,23924,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405701859,24928,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405701860,25934,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405701861,26944,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405701862,27946,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
