0,1405715931,utime,volts24,volts12,gappos,gapmotor,BSChKill,MotCont,MotPreC,ArrCont,ArrPreC,GapD1,GapIN1,GapIN2,ArrayA,ArrayB,ArrayC,Estop,Thren
0,1405715982,52190,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715983,53197,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715984,54200,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715985,55209,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715986,56213,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715987,57226,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715988,58232,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715989,59233,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715990,60240,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715991,61244,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715992,62251,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715993,63258,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715994,64264,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715995,65268,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715996,66274,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715997,67278,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715998,68285,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715999,69535,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716000,70543,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716001,71549,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716002,72556,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716003,73946,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716004,74947,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716005,75957,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716006,76958,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716007,77966,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716008,78973,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716009,79983,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716010,80985,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716011,81990,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716012,82999,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716014,84002,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716015,85004,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716016,86012,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716017,87014,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716018,88024,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716019,89030,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716020,90032,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716021,91039,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716022,92042,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716023,93044,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716024,94876,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716025,95878,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716026,96885,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716027,97888,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716028,98896,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716029,99902,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716030,100906,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716031,101909,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405716032,102913,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405716033,103920,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
