0,1405105215,utime,SV_desphI,SV_desspd,SV_trgphI,SV_drvst,SV_flt1lat,SV_flt1,SV_flt2,SV_flt3,SV_thrlim,SV_rgnlim,VC_discrete
0,1405105272,59482,0,-18244,-18702,23701,-15490,6,0,-7079,-18691,0,-1
0,1405105273,60493,0,-18244,-18702,23701,-15490,6,0,-7079,-18691,0,-1
0,1405105274,61499,0,-18244,-18702,23701,-15490,6,0,-7079,-18691,0,-1
0,1405105275,62507,0,-18244,-18702,23701,-15490,6,0,-7079,-18691,0,-1
0,1405105276,63511,0,-18244,-18702,23701,-15490,6,0,-7079,-18691,0,-1
0,1405105277,64513,0,0,0,17409,0,0,64,0,6,13,-1
0,1405105278,65523,0,0,0,17409,0,0,64,0,6,13,22172
0,1405105279,66526,0,0,0,17409,0,0,64,0,6,13,22172
0,1405105280,67536,0,0,0,17409,0,0,64,0,6,13,22172
0,1405105281,68542,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105282,69546,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105283,70548,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105284,71556,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105285,72559,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105286,73561,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105287,74565,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105288,75573,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105289,76580,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105290,77589,0,0,0,17409,0,0,0,0,16,13,22172
0,1405105291,78596,0,0,0,17409,0,0,0,0,16,13,22172
0,1405105292,79606,0,0,0,17409,0,0,0,0,16,13,22172
0,1405105293,80613,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105294,81626,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105295,82632,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105296,83643,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105297,84650,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105298,85667,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105299,86682,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105300,87688,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105301,88695,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105302,89711,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105303,90715,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105304,91721,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105305,92731,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105306,93733,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105307,94736,0,0,0,17409,0,0,0,0,6,13,22172
0,1405105308,95743,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105309,96752,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105310,97754,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105311,98758,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105312,99766,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105313,100773,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105314,101778,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105315,102792,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105316,103801,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105317,104808,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105318,105819,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105319,106823,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105320,107836,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105321,108841,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105322,109846,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105323,110851,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105324,111857,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105325,112858,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105326,113863,0,0,0,17408,0,0,0,0,6,13,22172
0,1405105327,114869,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105328,115875,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105329,116881,0,0,0,17408,0,0,0,0,8,3,22172
0,1405105331,118181,0,0,0,17408,0,0,0,0,8,3,22172
0,1405105332,119182,200,0,200,17920,0,0,0,0,8,13,22172
0,1405105333,120183,254,0,254,17920,0,0,0,0,8,13,22172
0,1405105334,121189,444,0,444,17920,0,0,0,0,8,13,22172
0,1405105335,122194,425,0,425,17920,0,0,0,0,8,13,22172
0,1405105336,123200,400,0,405,17920,0,0,0,0,8,13,22172
0,1405105337,124202,400,0,405,17920,0,0,0,0,8,13,22172
0,1405105338,125209,386,0,386,17920,0,0,0,0,8,13,22172
0,1405105339,126211,210,0,210,17920,0,0,0,0,8,13,22172
0,1405105340,127219,205,0,205,17920,0,0,0,0,8,13,22172
0,1405105341,128896,205,0,205,17920,0,0,0,0,8,13,22172
0,1405105342,129901,142,0,142,17920,0,0,0,0,8,13,22172
0,1405105343,130902,49,0,49,17920,0,0,0,0,8,3,22172
0,1405105344,131906,0,0,0,17408,0,0,0,0,8,3,22172
0,1405105345,132913,0,0,0,17408,0,0,0,0,8,3,22172
0,1405105346,133917,0,0,0,17408,0,0,0,0,8,3,22172
0,1405105347,134918,-351,0,-346,17920,0,0,0,0,6,3,22172
0,1405105348,135925,-341,0,-341,17920,0,0,0,0,6,3,22172
0,1405105349,136926,-4,0,-4,17920,0,0,0,0,6,3,22172
0,1405105350,137929,-4,0,-4,17920,0,0,0,0,6,3,22172
0,1405105351,138932,-4,0,-4,17920,0,0,0,0,6,3,22172
0,1405105352,139935,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105353,140939,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105354,141941,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105355,142965,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105356,143968,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105357,144973,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105358,145979,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105359,146980,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105360,147981,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105361,148984,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105362,149986,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105363,150999,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105365,152003,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105366,153023,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105367,154026,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105368,155038,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105369,156049,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105370,157059,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105371,158068,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105372,159071,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105373,160079,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105374,161091,0,0,0,17408,0,0,0,0,6,3,22172
0,1405105375,162098,0,0,0,17408,0,0,0,0,6,3,22172
