0,1405000298,utime,T(cK),I(cA),V(mV),V_sup(mV),Stat,T(cK),I(cA),V(mV),V_sup(mV),Stat
0,1405000298,mins,,,0,,,,,,0,,,,,0,,,,,0,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0
0,1405000298,maxs,,32768,,,32768,,32768,,32768,32768,32768,32768,32768,,32768,,32768
0,1405000298,attr,,N,,,,,,,,N,,,,,,N,,,,,,,N,,,,,N,,,,,N,,,,,N,,,,,N,,,,N,,,,,,,N
0,1405000299,2305,0,0,0,0,0,0,0,0,0,0
0,1405000300,3310,29970,-116,13430,0,1,29835,-117,13360,88,1
0,1405000301,4317,29970,-117,13425,0,1,29835,-117,13355,88,1
0,1405000302,5319,29970,-116,13425,0,1,29835,-116,13355,88,1
0,1405000303,6326,29970,-116,13425,0,1,29835,-116,13355,88,1
0,1405000304,7327,29970,-116,13425,0,1,29835,-116,13355,88,1
0,1405000305,8330,29970,-116,13425,0,1,29835,-116,13355,88,1
0,1405000306,9337,29970,-117,13420,0,1,29835,-117,13350,88,1
0,1405000307,10343,29970,-116,13420,0,1,29835,-116,13350,88,1
0,1405000308,11344,29970,-116,13420,0,1,29835,-116,13350,88,1
0,1405000309,12347,29970,-116,13420,0,1,29835,-116,13350,88,1
0,1405000310,13354,29970,-137,13405,0,1,29835,-138,13340,88,1
0,1405000311,14361,29970,-138,13405,0,1,29835,-138,13335,88,1
0,1405000312,15377,29970,-138,13405,0,1,29835,-140,13335,88,1
0,1405000313,16378,29970,4,13485,23848,1,29835,4,13415,24090,1
0,1405000314,17381,29970,4,13495,23947,1,29835,4,13425,24167,1
0,1405000315,18386,29970,2,13500,23947,4,29880,2,13430,24178,2
0,1405000316,19392,29970,1,13505,23947,4,29880,2,13435,24178,2
0,1405000317,20398,29970,103,13560,23628,1,29835,103,13490,23903,3
0,1405000318,21401,29970,104,13565,23628,1,29835,103,13495,23903,3
0,1405000319,22403,29970,104,13570,23628,1,29835,103,13505,23903,3
0,1405000320,23409,29970,104,13575,23628,1,29835,103,13505,23914,3
0,1405000321,24414,29970,104,13580,23628,1,29835,103,13510,23903,3
0,1405000322,25424,29970,104,13585,23628,1,29835,103,13515,23914,3
0,1405000323,26428,29970,104,13585,23628,1,29835,103,13520,23903,3
0,1405000324,27430,29970,104,13590,23628,1,29835,103,13520,23914,3
0,1405000325,28440,29970,104,13595,23628,1,29835,103,13525,23914,3
0,1405000326,29441,29970,104,13595,23628,1,29835,103,13530,23914,3
0,1405000327,30443,29970,104,13600,23628,1,29835,103,13530,23914,3
0,1405000328,31447,29970,104,13605,23628,1,29835,103,13530,23903,3
0,1405000329,32449,29970,104,13605,23628,1,29835,103,13535,23914,3
0,1405000330,33450,29970,104,13605,23628,1,29835,103,13535,23914,3
0,1405000331,34991,29970,103,13610,23628,1,29835,103,13540,23914,3
0,1405000332,35999,29970,104,13615,23628,1,29835,103,13540,23914,3
0,1405000334,37004,29970,104,13615,23628,1,29835,103,13545,23903,3
0,1405000335,38015,29970,104,13620,23628,1,29835,103,13550,23914,3
0,1405000336,39318,29970,104,13620,23628,1,29835,103,13550,23903,3
0,1405000337,40324,29970,104,13625,23628,1,29880,103,13555,23903,3
0,1405000338,41326,29970,104,13625,23628,1,29835,103,13555,23914,3
0,1405000339,42333,29970,104,13630,23628,1,29835,103,13555,23903,3
0,1405000340,43338,29970,104,13630,23628,1,29835,104,13560,23914,3
0,1405000341,44346,29970,104,13630,23628,1,29835,103,13560,23914,3
0,1405000342,45348,29970,104,13635,23628,1,29835,103,13565,23914,3
