0,1405616312,utime,AM_vel(rpm),AM_supV(dV),AM_supI(dA)
0,1405616312,mins,,,0,,,,,,,,,,-37624,,,,,,,0
0,1405616312,maxs,,,37624,,,,,,,37624,,,,,,37624
0,1405616312,attr,,,N,,,,,,,,,,,,,N,,,,,,,,,N
0,1405616342,37823,0,0,0
0,1405616343,38074,0,0,0
0,1405616343,38325,0,0,0
0,1405616343,38576,0,0,0
0,1405616343,38828,0,0,0
0,1405616344,39079,0,0,0
0,1405616344,39330,0,0,0
0,1405616344,39581,0,0,0
0,1405616344,39832,0,0,0
0,1405616345,40083,0,0,0
0,1405616345,40334,0,0,0
0,1405616345,40585,0,0,0
0,1405616345,40837,0,0,0
0,1405616346,41088,0,0,0
0,1405616346,41339,0,0,0
0,1405616346,41590,0,0,0
0,1405616346,41841,0,0,0
0,1405616347,42092,0,0,0
0,1405616347,42343,0,0,0
0,1405616347,42594,0,0,0
0,1405616347,42850,0,0,0
0,1405616348,43101,0,0,0
0,1405616348,43352,0,0,0
0,1405616348,43603,0,0,0
0,1405616348,43854,0,0,0
0,1405616349,44105,0,0,0
0,1405616349,44356,0,0,0
0,1405616349,44607,0,0,0
0,1405616349,44858,0,0,0
0,1405616350,45110,0,0,0
0,1405616350,45361,0,0,0
0,1405616350,45612,0,0,0
0,1405616350,45864,0,0,0
0,1405616351,46115,0,0,0
0,1405616351,46366,0,0,0
0,1405616351,46617,0,0,0
0,1405616351,46868,0,0,0
0,1405616352,47119,0,0,0
0,1405616352,47370,0,0,0
0,1405616352,47621,0,0,0
0,1405616352,47873,0,0,0
0,1405616353,48125,0,0,0
0,1405616353,48376,0,0,0
0,1405616353,48628,0,0,0
0,1405616353,48881,0,0,0
0,1405616354,49135,0,0,0
0,1405616354,49388,0,0,0
0,1405616354,49641,0,0,0
0,1405616354,49892,0,0,0
0,1405616355,50144,0,0,0
0,1405616355,50395,0,0,0
0,1405616355,50646,0,0,0
0,1405616355,50897,0,0,0
0,1405616356,51149,0,0,0
0,1405616356,51400,0,0,0
0,1405616356,51651,0,0,0
0,1405616356,51902,0,0,0
0,1405616357,52153,0,0,0
0,1405616357,52405,0,0,0
0,1405616357,52656,0,0,0
0,1405616357,52907,0,0,0
0,1405616358,53158,0,0,0
0,1405616358,53409,0,0,0
0,1405616358,53661,0,0,0
0,1405616358,53912,0,0,0
0,1405616359,54164,0,0,0
