0,1405616312,utime,T(cK),I(cA),V(mV),V_sup(mV),Stat,T(cK),I(cA),V(mV),V_sup(mV),Stat
0,1405616312,mins,,,0,,,,,,0,,,,,0,,,,,0,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0
0,1405616312,maxs,,32768,,,32768,,32768,,32768,32768,32768,32768,32768,,32768,,32768
0,1405616312,attr,,N,,,,,,,,N,,,,,,N,,,,,,,N,,,,,N,,,,,N,,,,,N,,,,,N,,,,N,,,,,,,N
0,1405616342,37823,0,0,0,0,0,0,0,0,0,0
0,1405616343,38824,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616344,39825,30825,1,13850,23892,4,30690,1,13630,24134,4
0,1405616345,40826,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616346,41827,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616347,42830,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616348,43832,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616349,44833,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616350,45834,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616351,46837,30825,1,13850,23892,4,30690,1,13630,24134,4
0,1405616352,47838,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616353,48840,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616354,49842,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616355,50843,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616356,51844,30825,1,13850,23881,4,30690,2,13630,24134,4
0,1405616357,52845,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616358,53846,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616359,54847,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616360,55848,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616361,56849,30825,1,13850,23892,4,30690,2,13630,24134,4
0,1405616362,57850,30825,1,13850,23881,4,30690,1,13630,24134,4
0,1405616363,58851,30825,1,13850,23892,4,30690,1,13630,24134,4
0,1405616364,59852,30825,1,13850,23892,4,30690,2,13630,24134,4
0,1405616365,60853,30825,1,13850,23881,4,30690,1,13630,24134,4
