0,1405367576,utime,AM_vel(rpm),AM_supV(dV),AM_supI(dA)
0,1405367576,mins,,,0,,,,,,,,,,-37624,,,,,,,0
0,1405367576,maxs,,,37624,,,,,,,37624,,,,,,37624
0,1405367576,attr,,,N,,,,,,,,,,,,,N,,,,,,,,,N
0,1405367577,2206,-29176,-18700,2400
0,1405367577,2457,-29176,-18700,2400
0,1405367577,2708,-29176,-18700,2400
0,1405367577,2963,-29176,-18700,2400
0,1405367578,3240,-29176,-18700,2400
0,1405367578,3493,-29176,-18700,2400
0,1405367578,3747,-29176,-18700,2400
0,1405367579,4003,-29176,-18700,2400
0,1405367579,4256,-29176,-18700,2400
0,1405367579,4507,-29176,-18700,2400
0,1405367579,4758,-29176,-18700,2400
0,1405367580,5009,-29176,-18700,2400
0,1405367580,5260,-29176,-18700,2400
0,1405367580,5519,-29176,-18700,2400
0,1405367580,5772,-29176,-18700,2400
0,1405367585,10190,-29176,-18700,2400
0,1405367586,11025,-29176,-18700,2400
0,1405367586,11278,-29176,-18700,2400
0,1405367586,11536,-29176,-18700,2400
0,1405367586,11798,-29176,-18700,2400
0,1405367587,12051,-29176,-18700,2400
0,1405367587,12314,-29176,-18700,2400
0,1405367587,12571,-29176,-18700,2400
0,1405367587,12832,-29176,-18700,2400
0,1405367588,13083,-29176,-18700,2400
0,1405367588,13337,-29176,-18700,2400
0,1405367588,13590,-29176,-18700,2400
0,1405367588,13848,-29176,-18700,2400
0,1405367589,14102,-29176,-18700,2400
0,1405367589,14359,-29176,-18700,2400
0,1405367589,14613,-29176,-18700,2400
0,1405367589,14864,-29176,-18700,2400
0,1405367590,15121,-29176,-18700,2400
0,1405367590,15382,-29176,-18700,2400
0,1405367590,15636,-29176,-18700,2400
0,1405367590,15887,-29176,-18700,2400
0,1405367591,16145,-29176,-18700,2400
0,1405367591,16407,-29176,-18700,2400
0,1405367591,16658,-29176,-18700,2400
0,1405367591,16912,-29176,-18700,2400
0,1405367592,17168,-29176,-18700,2400
0,1405367592,17428,-29176,-18700,2400
0,1405367592,17681,-29176,-18700,2400
0,1405367592,17939,-29176,-18700,2400
0,1405367593,18197,-29176,-18700,2400
0,1405367593,18455,-29176,-18700,2400
0,1405367593,18714,-29176,-18700,2400
0,1405367593,18965,-29176,-18700,2400
0,1405367594,19223,-29176,-18700,2400
0,1405367594,19475,-29176,-18700,2400
0,1405367594,19732,-29176,-18700,2400
0,1405367594,19985,-29176,-18700,2400
0,1405367595,20251,-29176,-18700,2400
0,1405367595,20510,-29176,-18700,2400
0,1405367595,20762,-29176,-18700,2400
0,1405367596,21018,-29176,-18700,2400
0,1405367596,21275,-29176,-18700,2400
0,1405367596,21528,-29176,-18700,2400
0,1405367596,21786,-29176,-18700,2400
0,1405367597,22045,-29176,-18700,2400
0,1405367597,22299,-29176,-18700,2400
0,1405367597,22550,-29176,-18700,2400
0,1405367597,22807,-29176,-18700,2400
0,1405367598,23068,-29176,-18700,2400
0,1405367598,23325,-29176,-18700,2400
0,1405367598,23582,-29176,-18700,2400
0,1405367598,23836,-29176,-18700,2400
0,1405367599,24093,-29176,-18700,2400
0,1405367599,24344,-29176,-18700,2400
0,1405367599,24596,-29176,-18700,2400
0,1405367599,24855,-29176,-18700,2400
0,1405367600,25114,-29176,-18700,2400
0,1405367601,26515,-29176,-18700,2400
0,1405367601,26790,-29176,-18700,2400
0,1405367602,27056,-29176,-18700,2400
0,1405367602,27310,-29176,-18700,2400
0,1405367602,27561,-29176,-18700,2400
0,1405367602,27814,-29176,-18700,2400
0,1405367603,28071,-29176,-18700,2400
0,1405367603,28327,-29176,-18700,2400
0,1405367603,28581,-29176,-18700,2400
0,1405367603,28835,-29176,-18700,2400
0,1405367604,29093,-29176,-18700,2400
0,1405367604,29349,-29176,-18700,2400
0,1405367604,29601,-29176,-18700,2400
0,1405367604,29854,-29176,-18700,2400
0,1405367605,30107,-29176,-18700,2400
0,1405367605,30366,-29176,-18700,2400
0,1405367605,30623,-29176,-18700,2400
0,1405367605,30882,-29176,-18700,2400
0,1405367606,31133,-29176,-18700,2400
0,1405367606,31390,-29176,-18700,2400
0,1405367606,31652,-29176,-18700,2400
0,1405367606,31906,-29176,-18700,2400
0,1405367607,32165,-29176,-18700,2400
0,1405367607,32423,-29176,-18700,2400
0,1405367607,32680,-29176,-18700,2400
0,1405367607,32935,-29176,-18700,2400
0,1405367608,33193,-29176,-18700,2400
0,1405367608,33449,-29176,-18700,2400
0,1405367608,33704,-29176,-18700,2400
0,1405367608,33964,-29176,-18700,2400
0,1405367609,34226,-29176,-18700,2400
0,1405367609,34478,-29176,-18700,2400
0,1405367609,34736,-29176,-18700,2400
0,1405367609,34994,-29176,-18700,2400
0,1405367610,35247,-29176,-18700,2400
0,1405367610,35507,-29176,-18700,2400
0,1405367612,37712,-29176,-18700,2400
0,1405367614,39487,-29176,-18700,2400
0,1405367614,39746,-29176,-18700,2400
0,1405367615,40004,-29176,-18700,2400
0,1405367615,40264,-29176,-18700,2400
0,1405367615,40519,-29176,-18700,2400
0,1405367615,40780,-29176,-18700,2400
0,1405367616,41036,-29176,-18700,2400
0,1405367616,41293,-29176,-18700,2400
0,1405367616,41547,-29176,-18700,2400
0,1405367616,41800,-29176,-18700,2400
0,1405367617,42051,-29176,-18700,2400
0,1405367617,42308,-29176,-18700,2400
0,1405367617,42565,-29176,-18700,2400
0,1405367617,42827,-29176,-18700,2400
0,1405367618,43078,-29176,-18700,2400
0,1405367618,43756,-29176,-18700,2400
0,1405367619,44022,-29176,-18700,2400
0,1405367619,44274,-29176,-18700,2400
0,1405367619,44526,-29176,-18700,2400
0,1405367619,44779,-29176,-18700,2400
0,1405367620,45032,-29176,-18700,2400
0,1405367620,45284,-29176,-18700,2400
0,1405367620,45543,-29176,-18700,2400
0,1405367620,45799,-29176,-18700,2400
0,1405367621,46050,-29176,-18700,2400
0,1405367621,46303,-29176,-18700,2400
